"","fan","first","four","game","get","like","make","one","play","player","said","second","team","time","two","way","will","year","best","sinc","three","top"
"fan",0,5,5,6,7,6,5,7,7,6,6,3,7,5,5,4,5,7,4,2,5,2
"first",5,0,8,7,7,6,6,7,8,6,6,6,7,8,6,9,7,9,5,5,7,4
"four",5,8,0,6,6,5,7,6,6,5,5,5,6,8,5,6,6,8,3,4,6,3
"game",6,7,6,0,6,6,4,6,8,8,6,5,8,7,7,5,6,7,6,5,6,5
"get",7,7,6,6,0,8,7,7,7,6,9,6,8,7,6,8,7,10,6,3,6,5
"like",6,6,5,6,8,0,6,7,7,6,8,6,8,5,7,8,6,9,6,5,6,5
"make",5,6,7,4,7,6,0,6,5,4,6,5,6,6,5,6,6,8,3,2,5,2
"one",7,7,6,6,7,7,6,0,8,6,6,4,7,6,7,6,7,9,6,5,6,3
"play",7,8,6,8,7,7,5,8,0,8,7,4,9,6,7,6,6,8,7,5,7,4
"player",6,6,5,8,6,6,4,6,8,0,6,4,8,6,7,4,6,6,6,4,6,4
"said",6,6,5,6,9,8,6,6,7,6,0,5,8,5,6,7,5,8,6,3,5,4
"second",3,6,5,5,6,6,5,4,4,4,5,0,5,7,5,7,5,8,3,4,5,5
"team",7,7,6,8,8,8,6,7,9,8,8,5,0,6,8,6,7,8,7,4,7,5
"time",5,8,8,7,7,5,6,6,6,6,5,7,6,0,6,6,7,9,4,5,7,5
"two",5,6,5,7,6,7,5,7,7,7,6,5,8,6,0,5,8,7,7,5,6,5
"way",4,9,6,5,8,8,6,6,6,4,7,7,6,6,5,0,6,10,5,5,5,5
"will",5,7,6,6,7,6,6,7,6,6,5,5,7,7,8,6,0,8,6,4,6,5
"year",7,9,8,7,10,9,8,9,8,6,8,8,8,9,7,10,8,0,7,7,8,7
"best",4,5,3,6,6,6,3,6,7,6,6,3,7,4,7,5,6,7,0,6,5,6
"sinc",2,5,4,5,3,5,2,5,5,4,3,4,4,5,5,5,4,7,6,0,5,6
"three",5,7,6,6,6,6,5,6,7,6,5,5,7,7,6,5,6,8,5,5,0,5
"top",2,4,3,5,5,5,2,3,4,4,4,5,5,5,5,5,5,7,6,6,5,0
