Country,Confirmed cases,Cases in last 7 days,Daily increase (# cases),Number of deaths,Daily increase (# deaths),Death rate (%)
Afghanistan,178745,232,56,7683,1,4.3
Albania,274828,293,0,3496,0,1.27
Algeria,265771,25,4,6875,0,2.59
American Samoa,5766,172,58,23,1,0.4
Andorra,41013,304,0,153,0,0.37
Angola,99287,0,0,1900,0,1.91
Anguilla,2731,0,0,9,0,0.33
Antigua and Barbuda,7571,32,0,135,0,1.78
Argentina,9072230,11307,11307,128542,198,1.42
Armenia,422828,44,3,8622,0,2.04
Aruba,34589,244,0,212,0,0.61
Australia,5756791,247199,37480,7052,46,0.12
Austria,4108970,44131,4111,18054,7,0.44
Azerbaijan,792496,105,0,9707,0,1.22
Bahamas,33488,77,5,789,0,2.36
Bahrain,566679,2503,407,1475,0,0.26
Bangladesh,1952583,171,27,29127,0,1.49
Barbados,67934,2838,323,390,1,0.57
Belarus,977962,3001,149,6928,2,0.71
Belgium,4015791,17069,0,31319,0,0.78
Belize,57454,69,35,676,0,1.18
Benin,26952,0,0,163,0,0.6
Bermuda,13200,299,57,131,0,0.99
Bhutan,57909,3317,138,20,0,0.03
Bolivia,904479,450,33,21908,0,2.42
"Bonaire, Sint Eustatius and Saba",9711,150,119,34,0,0.35
Bosnia and Herzegovina,376841,315,142,15762,6,4.18
Botswana,305859,0,0,2688,0,0.88
Brazil,30355919,80700,6456,662964,73,2.18
British Virgin Islands,6296,134,0,62,0,0.98
Brunei,141269,905,150,218,0,0.15
Bulgaria,1153506,2495,377,36856,2,3.2
Burkina Faso,20865,0,0,383,0,1.84
Burma,612770,112,21,19434,0,3.17
Burundi,39632,820,745,38,0,0.1
Cabo Verde,56008,15,4,401,0,0.72
Cambodia,136228,138,12,3056,0,2.24
Cameroon,119780,0,0,1927,0,1.61
Canada,3720853,54529,3883,38893,15,1.05
Cayman Islands,21755,349,0,27,0,0.12
Central African Republic,14649,0,0,113,0,0.77
Chad,7411,15,15,193,0,2.6
Chile,3547977,15328,1484,57376,1,1.62
China,2041627,179114,31441,14043,69,0.69
Colombia,6091551,1553,208,139780,2,2.29
Comoros,8105,2,1,160,0,1.97
Congo (Brazzaville),24079,0,0,385,0,1.6
Congo (Kinshasa),87023,0,0,1337,0,1.54
Costa Rica,847784,2892,0,8383,0,0.99
Cote d'Ivoire,81898,37,11,799,0,0.98
Croatia,1117822,4159,87,15790,8,1.41
Cuba,1101968,1656,237,8525,0,0.77
Curacao,41966,314,0,273,0,0.65
Cyprus,470481,4694,0,1011,0,0.21
Czechia,3898406,11530,2262,40102,19,1.03
Denmark¹,3064373,9365,983,6056,21,0.2
Djibouti,15611,13,0,189,0,1.21
Dominica,12011,23,0,63,0,0.52
Dominican Republic,579114,325,0,4376,0,0.76
Ecuador,868285,1360,232,35581,0,4.1
Egypt,515645,0,0,24613,0,4.77
El Salvador,162089,0,0,4128,1,2.55
Equatorial Guinea,15907,0,0,183,0,1.15
Eritrea,9734,1,0,103,0,1.06
Estonia,570405,2070,148,2533,2,0.44
Eswatini,70303,196,9,1397,0,1.99
Ethiopia,470442,137,8,7510,0,1.6
Faroe Islands,34658,0,0,28,0,0.08
Fiji,64535,22,11,862,0,1.34
Finland,1000472,50889,0,3638,0,0.36
France¹,26997401,480311,8463,137854,195,0.51
French Guiana,80422,387,0,394,0,0.49
French Polynesia,72678,57,30,648,0,0.89
Gabon,47597,3,0,303,0,0.64
Gambia,11995,1,0,365,0,3.04
Georgia,1654313,853,58,16800,0,1.02
Germany,24337394,679183,136798,134489,304,0.55
Ghana,161157,43,33,1445,0,0.9
Gibraltar,17706,212,0,102,0,0.58
Greece,3285970,33722,8413,28933,66,0.88
Greenland,11971,0,0,21,0,0.18
Grenada,14428,263,0,220,0,1.52
Guadeloupe,147607,2379,2379,942,1,0.64
Guam,47973,206,29,354,0,0.74
Guatemala,842653,4135,81,17525,5,2.08
Guernsey,24201,517,0,43,0,0.18
Guinea,36540,0,0,441,0,1.21
Guinea-Bissau,8186,4,1,171,0,2.09
Guyana,63420,40,4,1228,0,1.94
Haiti,30640,25,0,835,0,2.73
Honduras,422469,230,194,10893,1,2.58
Hungary,1894278,9820,3325,46101,53,2.43
Iceland,185074,1373,0,114,0,0.06
India,43060097,12503,11,522223,0,1.21
Indonesia,6044467,3198,317,156133,33,2.58
Iran,7217117,6329,1077,140996,21,1.95
Iraq,2324384,876,161,25207,2,1.08
Ireland,1512812,7244,3276,7016,20,0.46
Isle of Man,31666,1497,0,98,0,0.31
Israel,4062271,21334,4506,10673,3,0.26
Italy,16161339,403337,25282,162781,93,1.01
Jamaica,129632,320,143,2948,5,2.27
Japan,7681363,244929,24763,29344,39,0.38
Jersey,49408,764,86,123,0,0.25
Jordan,1695432,0,0,14059,0,0.83
Kazakhstan,1394367,124,8,19013,0,1.36
Kenya,323718,88,9,5649,0,1.75
Kiribati,3080,4,4,13,0,0.42
Kosovo,227984,104,8,3138,0,1.38
Kuwait,631294,236,0,2555,0,0.4
Kyrgyzstan,200990,8,7,2991,0,1.49
Laos,205975,4515,0,732,0,0.36
Latvia,817439,4024,123,5744,1,0.7
Lebanon,1096462,651,56,10378,3,0.95
Lesotho,32968,0,0,697,0,2.11
Liberia,7432,0,0,294,0,3.96
Libya,501862,0,0,6429,0,1.28
Liechtenstein,17105,100,2,85,0,0.5
Lithuania,1054874,4693,256,9072,9,0.86
Luxembourg,235276,4285,1310,1062,4,0.45
Madagascar,64152,31,0,1391,0,2.17
Malawi,85747,19,0,2633,0,3.07
Malaysia,4433551,31317,2478,35507,8,0.8
Maldives,179171,288,288,298,0,0.17
Mali,30752,74,12,731,0,2.38
Malta,90773,1463,178,692,4,0.76
Martinique,150077,818,342,918,0,0.61
Mauritania,58685,2,2,982,0,1.67
Mauritius,220344,2115,0,990,0,0.45
Mayotte,37038,0,0,187,0,0.5
Mexico,5733925,4655,140,324134,5,5.65
Moldova,516986,399,0,11489,0,2.22
Monaco,11632,152,28,57,1,0.49
Mongolia,920436,196,75,2177,0,0.24
Montenegro,234760,424,53,2713,0,1.16
Morocco,1164717,250,17,16066,1,1.38
Mozambique,225366,28,1,2201,0,0.98
Namibia,158379,267,21,4025,0,2.54
Nepal,978762,78,19,11951,0,1.22
Netherlands¹,8028407,13308,4869,21643,21,0.27
New Caledonia,60593,72,0,312,0,0.51
New Zealand,896495,45748,6456,649,5,0.07
New Zealand (Cook Islands),4727,526,0,1,1,0.02
Nicaragua,18491,0,0,233,0,1.26
Niger,8916,23,2,309,0,3.47
Nigeria,255685,15,0,3143,0,1.23
North Macedonia,309208,456,146,9276,5,3
Northern Mariana Islands,11263,18,42,34,0,0.3
Norway,1424180,3430,551,2871,0,0.2
Oman,389074,152,21,4258,1,1.09
Pakistan,1527956,470,0,30369,0,1.99
Palau,4396,206,0,6,0,0.14
Panama,772086,2629,267,8182,0,1.06
Papua New Guinea,43800,137,68,649,0,1.48
Paraguay,649034,352,0,18795,0,2.9
Peru,3561677,4538,801,212761,19,5.97
Philippines,3684712,1345,212,60194,12,1.63
Poland,5991464,5646,267,115948,0,1.94
Portugal,3791744,46175,0,22162,0,0.58
Puerto Rico,519265,21980,2219,4191,1,0.81
Qatar,364300,546,113,677,0,0.19
Réunion,3882,6,1,742,0,19.11
Romania,2888639,4525,321,65428,1,2.27
Russia,17880154,51145,7529,367521,155,2.06
Rwanda,129785,16,13,1459,0,1.12
Saint Barthelemy,4443,11,11,6,0,0.14
Saint Kitts and Nevis,5562,1,1,43,0,0.77
Saint Lucia,23285,174,46,368,0,1.58
Saint Pierre and Miquelon,2641,104,0,1,0,0.04
