Country/Territory,Code,Estimate (2020),StdErr (2020),NumSrc (2020),Rank (2020),Lower (2020),Upper (2020),Estimate (2021),StdErr (2021),NumSrc (2021),Rank (2021),Lower (2021),Upper (2021)
Aruba,ABW,1.12,0.36,2.00,85.10,69.23,95.19,1.13,0.36,2.00,84.13,69.23,96.63
Andorra,ADO,1.82,0.49,1.00,96.63,80.77,100.00,1.82,0.48,1.00,97.60,81.25,100.00
Afghanistan,AFG,-1.59,0.28,7.00,5.29,1.44,12.02,-1.63,0.30,6.00,5.77,0.96,12.02
Angola,AGO,-1.20,0.23,7.00,10.58,5.29,18.75,-1.06,0.23,7.00,12.98,7.21,26.44
Anguilla,AIA,0.97,0.49,1.00,80.77,58.65,95.67,0.98,0.48,1.00,80.29,58.65,97.12
Albania,ALB,-0.12,0.26,6.00,48.08,30.77,62.98,0.00,0.26,6.00,53.37,35.58,66.83
United Arab Emirates,ARE,1.32,0.24,7.00,87.98,78.85,95.19,1.40,0.23,7.00,89.90,81.25,97.12
Argentina,ARG,-0.22,0.23,9.00,44.23,29.33,58.65,-0.36,0.23,8.00,38.46,23.56,53.85
Armenia,ARM,-0.27,0.25,7.00,40.38,26.92,57.69,-0.25,0.26,6.00,41.83,26.44,58.65
American Samoa,ASM,0.69,0.49,1.00,74.04,48.56,90.87,0.70,0.48,1.00,73.56,48.08,91.83
Antigua and Barbuda,ATG,-0.16,0.49,1.00,47.12,15.87,71.15,-0.14,0.48,1.00,46.63,14.42,71.63
Australia,AUS,1.61,0.25,6.00,93.75,85.58,99.52,1.51,0.25,6.00,92.79,81.73,98.08
Austria,AUT,1.65,0.23,7.00,94.71,86.54,99.52,1.57,0.23,7.00,94.71,85.10,98.08
Azerbaijan,AZE,-0.12,0.27,6.00,48.56,30.29,64.42,0.25,0.26,6.00,60.10,44.71,72.12
Burundi,BDI,-1.28,0.21,8.00,9.62,4.81,17.31,-1.33,0.22,7.00,9.62,3.85,14.42
Belgium,BEL,1.12,0.25,6.00,83.65,74.04,91.35,1.13,0.23,7.00,83.17,74.52,91.83
